t_264404,lemon8,2021-11-19T10:40:38.000Z,wi-fiをきって入力するとエラーが出にくいみたいです,wi-fiをきって入力するとエラーが出にくい,2
t_264559,lemon8,2021-11-12T16:28:58.000Z,しかも2階はものすごく狭い,しかも2階はものすごく狭い,3
t_264899,lemon8,2021-11-16T02:32:32.000Z,招待コードl433754の入力してくれたら嬉しいです,招待コードl433754の入力してくれたら嬉しい,4
t_265131,lemon8,2021-11-19T02:33:14.000Z,よくエラーがでるのですが,よくエラーがでる,7
t_265530,lemon8,2021-11-19T04:35:35.000Z,※何故かエラーになったりするけど、何度も試してるうちに認証成功します,エラーになったりする,7
t_275695,lemon8,2021-11-18T03:16:44.000Z,少しエラーが出てるみたいです,少しエラーが出てる,7
t_265779,lemon8,2021-11-04T08:20:20.000Z,返信遅くなってごめんなさい,返信遅くなってごめんなさい,8
t_266175,lemon8,2021-11-25T22:00:00.000Z,ヘアゴムって使えば使うほど劣化してきてゴムが伸びきったり切れたりしませんか,ゴムが伸びきったり切れたりしませんか,9
t_266349,lemon8,2021-11-15T04:07:56.000Z,画像と動画が一緒に投稿できないから、使いまわしできなくて困るー,画像と動画が一緒に投稿できないから、使いまわしできなくて,10
t_266530,lemon8,2021-11-16T15:55:48.000Z,エラーが出た場合、10〜20分くらいして再度招待コード入力するといけます,エラーが出た場合、10〜20分くらいして再度招待コード入力するといけます,11
t_267391,lemon8,2021-11-19T10:39:52.000Z,エラーが出たらしばらくすること登録できます,エラーが出たらしばらくすること登録できます,12
t_269249,lemon8,2021-11-17T02:20:44.000Z,招待コードがエラーになります,招待コードがエラーになります,13
t_269279,lemon8,2021-12-11T10:18:25.000Z,見にくくなったからアプリ開けなくなったw,見にくくなったからアプリ開けなくなった,14
t_270044,lemon8,2021-11-17T14:14:26.000Z,登録してすぐ入力してもエラーになるようなので10分程経ってからコードを入れてもらえるとすんなり入力出来きます,登録してすぐ入力してもエラーになるようなので10分程経ってからコードを入れてもらえるとすんなり入力出来きます,15
t_271022,lemon8,2021-11-25T13:29:58.000Z,て再起動できないようにされてしまいました,て再起動できないようにされてしまいました,17
t_264343,lemon8,2021-11-19T02:12:26.000Z,登録してすぐ入力するとエラーが出ることもあるので、,登録してすぐ入力するとエラーが出る,18
t_265139,lemon8,2021-11-19T04:16:34.000Z,登録してすぐにコード入れると、エラー出ました,登録してすぐにコード入れると、エラー出ました,18
t_270966,lemon8,2021-11-19T10:04:37.000Z,登録してすぐにコード入れると、エラー出ました,登録してすぐにコード入れると、エラー出ました,18
t_271215,lemon8,2021-11-18T14:26:47.000Z,登録してすぐ入力するとエラーが出ることもあるので、,登録してすぐ入力するとエラーが出る,18
t_271861,lemon8,2021-11-19T08:32:42.000Z,登録してすぐにコード入れると、エラー出ました,登録してすぐにコード入れると、エラー出ました,18
t_272339,lemon8,2021-11-18T08:50:46.000Z,登録してすぐ入力するとエラーが出たので、,登録してすぐ入力するとエラーが出た,18
t_274717,lemon8,2021-11-17T15:59:34.000Z,招待コードはすぐに入力するとエラーが出るので10分後ぐらいで,招待コードはすぐに入力するとエラーが出る,18
t_271399,lemon8,2021-12-11T10:18:25.000Z,表示されなくなってめっちゃ,表示されなくなって,19
t_272245,lemon8,2021-10-26T08:45:18.000Z,マットなのに唇が乾燥しにくいの本当凄いと思うしかもプチプラ価格で,唇が乾燥しにくい,21
t_273596,lemon8,2021-11-16T22:07:22.000Z,キャンペーンページが分かりにくいです,キャンペーンページが分かりにくい,23
t_274546,lemon8,2021-12-13T02:11:35.000Z,暴言→心や体の不調→暴言→不調と無限ループで精神やられますね,暴言→心や体の不調→暴言→不調と無限ループで精神やられます,24
t_275847,lemon8,2021-11-11T22:00:01.000Z,daisoのバンスクリップが万能すぎた,daisoのバンスクリップが万能すぎた,27
